,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,Female,False,True,False,1,False,False,DSL,False,True,False,False,False,False,Month-to-month,True,Electronic check,29.850000381469727,29.850000381469727,False
1,5575-GNVDE,Male,False,False,False,34,True,False,DSL,True,False,True,False,False,False,One year,False,Mailed check,56.95000076293945,1889.5,False
2,3668-QPYBK,Male,False,False,False,2,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Mailed check,53.849998474121094,108.1500015258789,True
3,7795-CFOCW,Male,False,False,False,45,False,False,DSL,True,False,True,True,False,False,One year,False,Bank transfer (automatic),42.29999923706055,1840.75,False
4,9237-HQITU,Female,False,False,False,2,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,70.69999694824219,151.64999389648438,True
5,9305-CDSKC,Female,False,False,False,8,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.6500015258789,820.5,True
6,1452-KIOVK,Male,False,False,True,22,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Credit card (automatic),89.0999984741211,1949.4000244140625,False
7,6713-OKOMC,Female,False,False,False,10,False,False,DSL,True,False,False,False,False,False,Month-to-month,False,Mailed check,29.75,301.8999938964844,False
8,7892-POOKP,Female,False,True,False,28,True,True,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,104.80000305175781,3046.050048828125,True
9,6388-TABGU,Male,False,False,True,62,True,False,DSL,True,True,False,False,False,False,One year,False,Bank transfer (automatic),56.150001525878906,3487.949951171875,False
10,9763-GRSKD,Male,False,True,True,13,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Mailed check,49.95000076293945,587.4500122070312,False
11,7469-LKBCI,Male,False,False,False,16,True,False,No,False,False,False,False,False,False,Two year,False,Credit card (automatic),18.950000762939453,326.79998779296875,False
12,8091-TTVAX,Male,False,True,False,58,True,True,Fiber optic,False,False,True,False,True,True,One year,False,Credit card (automatic),100.3499984741211,5681.10009765625,False
13,0280-XJGEX,Male,False,False,False,49,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),103.69999694824219,5036.2998046875,True
14,5129-JLPIS,Male,False,False,False,25,True,False,Fiber optic,True,False,True,True,True,True,Month-to-month,True,Electronic check,105.5,2686.050048828125,False
15,3655-SNQYZ,Female,False,True,True,69,True,True,Fiber optic,True,True,True,True,True,True,Two year,False,Credit card (automatic),113.25,7895.14990234375,False
16,8191-XWSZG,Female,False,False,False,52,True,False,No,False,False,False,False,False,False,One year,False,Mailed check,20.649999618530273,1022.9500122070312,False
17,9959-WOFKT,Male,False,False,True,71,True,True,Fiber optic,True,False,True,False,True,True,Two year,False,Bank transfer (automatic),106.69999694824219,7382.25,False
18,4190-MFLUW,Female,False,True,True,10,True,False,DSL,False,False,True,True,False,False,Month-to-month,False,Credit card (automatic),55.20000076293945,528.3499755859375,True
19,4183-MYFRB,Female,False,False,False,21,True,False,Fiber optic,False,True,True,False,False,True,Month-to-month,True,Electronic check,90.05000305175781,1862.9000244140625,False
20,8779-QRDMV,Male,True,False,False,1,False,False,DSL,False,False,True,False,False,True,Month-to-month,True,Electronic check,39.650001525878906,39.650001525878906,True
21,1680-VDCWW,Male,False,True,False,12,True,False,No,False,False,False,False,False,False,One year,False,Bank transfer (automatic),19.799999237060547,202.25,False
22,1066-JKSGK,Male,False,False,False,1,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,20.149999618530273,20.149999618530273,True
23,3638-WEABW,Female,False,True,False,58,True,True,DSL,False,True,False,True,False,False,Two year,True,Credit card (automatic),59.900001525878906,3505.10009765625,False
24,6322-HRPFA,Male,False,True,True,49,True,False,DSL,True,True,False,True,False,False,Month-to-month,False,Credit card (automatic),59.599998474121094,2970.300048828125,False
25,6865-JZNKO,Female,False,False,False,30,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Bank transfer (automatic),55.29999923706055,1530.5999755859375,False
